Figure_number,Approx_page,Figure_title,X_Axis,Y_Axis,Caption,Legend_name,Legend_label_1,Legend_label_2,X_Axis_Ticks_1,X_Axis_Ticks_2,Y_Axis_Ticks_1,Y_Axis_Ticks_2,Figure_title_FR,X_Axis_FR,Y_Axis_FR,Legend_name_FR,Legend_label_1_FR,Legend_label_2_FR,X_Axis_Ticks_1_FR,X_Axis_Ticks_2_FR,Y_Axis_Ticks_1_FR,Y_Axis_Ticks_2_FR
Figure 3,19,All skills by digital intensity,,,,Skill type,Not digital,Digital,,,Less Digitally Intensive,More Digitally Intensive,Toutes les compétences selon l’intensité numérique,,,Type de compétence,Non numérique,Numérique,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 4,20,Clusters by digital intensity,,,,Cluster,,,,,Less Digitally Intensive,More Digitally Intensive,Groupes selon l’intensité numérique,,,Groupe,,,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 5,21,Digital sub-clusters by digital intensity,,,,Digital sub-cluster,,,,,Less Digitally Intensive,More Digitally Intensive,Sous-groupes numériques selon l’intensité numérique,,,Sous-groupe numérique,,,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 6,22,Digital skills in the High-tech skills cluster,,,,Digital sub-cluster,,,,,Less Digitally Intensive,More Digitally Intensive,Compétences numériques du groupe de compétences hautement technologiques,,,Sous-groupe numérique,,,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 7,23,Digital skills in the Business and management (B&M) skills cluster,,,,Digital sub-cluster,,,,,Less Digitally Intensive,More Digitally Intensive,Compétences numériques du groupe de compétences en affaires et gestion,,,Sous-groupe numérique,,,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 8,25,Digital skills in the General office-based skills cluster,,,,Digital sub-cluster,,,,,Less Digitally Intensive,More Digitally Intensive,Compétences numériques du groupe de compétences administratives générales,,,Sous-groupe numérique,,,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 9,26,Digital skills in the Communication and interaction (C&I) skills cluster,,,,Digital sub-cluster,,,,,Less Digitally Intensive,More Digitally Intensive,Compétences numériques du groupe de compétences en communication et interaction,,,Sous-groupe numérique,,,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 10,27,Digital skills in the Trades skills cluster,,,,Digital sub-cluster,,,,,Less Digitally Intensive,More Digitally Intensive,Compétences numériques du groupe de compétences liées aux métiers,,,Sous-groupe numérique,,,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 11,28,Digital skills in the Sales and merchandising skills cluster,,,,Digital sub-cluster,,,,,Less Digitally Intensive,More Digitally Intensive,Compétences numériques du groupe de compétences en vente et mise en marché,,,Sous-groupe numérique,,,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 12,30,Digital intensity of hybrid skills pairs,Digital skill in hybrid pair is used in high digital contexts,Non-digital skill in hybrid pair is used in high digital contexts,,Hybrid skills cluster pairing,,,,,,,Intensité numérique de paires de compétences hybrides,Compétence numérique de paire hybride utilisée dans des contextes d’intensité numérique élevée,Compétence non numérique de paire hybride utilisée dans des contextes d’intensité numérique élevée,Jumelage de groupes de compétences hybrides,,,,,,
Figure 13,31,Digital intensity of hybrid skills pairs,Digital skill in hybrid pair is used in high digital contexts,Non-digital skill in hybrid pair is used in high digital contexts,,Hybrid skills cluster pairing,,,,,,,Intensité numérique de paires de compétences hybrides,Compétence numérique de paire hybride utilisée dans des contextes d’intensité numérique élevée,Compétence non numérique de paire hybride utilisée dans des contextes d’intensité numérique élevée,Jumelage de groupes de compétences hybrides,,,,,,
Figure 14,35,Digital intensity of Software/Product development & data skills,,,,Digital sub-cluster,Other digital skills,Software/Product dev & data skills,,,Less Digitally Intensive,More Digitally Intensive,Intensité numérique – développement de logiciels et de produits et gestion de données,,,Sous-groupe numérique,Autres compétences numériques,Développement de logiciels et de produits et gestion de données,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 15,37,Digital intensity of Cybersecurity & system infrastructure skills,,,,Digital sub-cluster,Other digital skills,Cybersecurity & system infrastructure skills,,,Less Digitally Intensive,More Digitally Intensive,Intensité numérique – cybersécurité et infrastructure des systèmes,,,Sous-groupe numérique,Autres compétences numériques,Cybersécurité et infrastructure des systèmes,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 16,38,Digital intensity of Industrial modelling & geospatial software skills,,,,Digital sub-cluster,Other digital skills,Industrial modelling & geospatial software skills,,,Less Digitally Intensive,More Digitally Intensive,Intensité numérique – modélisation industrielle et logiciels géospatiaux,,,Sous-groupe numérique,Autres compétences numériques,Modélisation industrielle et logiciels géospatiaux,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 17,40,Digital intensity of Design and marketing skills,,,,Digital sub-cluster,Other digital skills,Design and marketing skills,,,Less Digitally Intensive,More Digitally Intensive,Intensité numérique – conception et marketing,,,Sous-groupe numérique,Autres compétences numériques,Conception et marketing,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 18,41,Digital intensity of Workforce digital skills,,,,Digital sub-cluster,Other digital skills,Workforce digital skills,,,Less Digitally Intensive,More Digitally Intensive,Intensité numérique – compétences numériques générales,,,Sous-groupe numérique,Autres compétences numériques,Compétences numériques générales,,,Intensité numérique plus faible,Intensité numérique plus élevée
Figure 20,45,Growth of digital skills during the pandemic (2019 to 2021),Digital intensity of skill,Growth (percentage change in number of occurrences in job postings),,Digital sub-cluster,,,Less Digitally Intensive,More Digitally Intensive,,,Croissance des compétences numériques pendant la pandémie (2019-2021),Intensité numérique de la compétence,Croissance (variation en pourcentage du nombre d’occurrences dans les offres d’emploi),Sous-groupe numérique,,,Intensité numérique plus faible,Intensité numérique plus élevée,,
Figure 21,45,Job postings demand for skills in Artificial intelligence (as a % of total job postings),Month,Percentage of job postings,,,,,,,,,Offres d'emploi demande de compétences en intelligence artificielle (en pourcentage du total des offres d'emploi) ,Mois,Pourcentage d'offres d'emploi,,,,,,,
Figure 22,46,Growth of skills sub-groups during the pandemic (2019 to 2021),Digital intensity of skill sub-group,Growth (percentage change in number of occurrences in job postings),,Vicinity Jobs Skills Groups,,,Less Digitally Intensive,More Digitally Intensive,,,Croissance des sous-groupes de compétences pendant la pandémie (2019-2021),Intensité numérique du sous-groupe de compétences,Croissance (variation en pourcentage du nombre d’occurrences dans les offres d’emploi),Groupes de compétences de Vicinity Jobs,,,Intensité numérique plus faible,Intensité numérique plus élevée,,
Figure A.1,61,"All digital skills, shown by digital intensity and growth during the pandemic",Digital intensity of skill,Growth (percentage change in number of occurrences in job postings),,Digital sub-cluster,,,Less Digitally Intensive,More Digitally Intensive,,,"Toutes les compétences numériques, selon leur intensité numérique et leur croissance pendant la pandémie",Intensité numérique de la compétence,Croissance (variation en pourcentage du nombre d’occurrences dans les offres d’emploi),Sous-groupe numérique,,,Intensité numérique plus faible,Intensité numérique plus élevée,,
Figure A.2,63,Digital intensity of hybrid skills pairs,Digital skill in hybrid pair is used in high digital contexts,Non-digital skill in hybrid pair is used in high digital contexts,,Hybrid skills cluster pairing,,,,,,,Intensité numérique de paires de compétences hybrides,Compétence numérique de paire hybride utilisée dans des contextes d’intensité numérique élevée,Compétence non numérique de paire hybride utilisée dans des contextes d’intensité numérique élevée,Jumelage de groupes de compétences hybrides,,,,,,
Figure A.3,64,Digital intensity of hybrid skills pairs,Digital skill in hybrid pair is used in high digital contexts,Non-digital skill in hybrid pair is used in high digital contexts,,Hybrid skills cluster pairing,,,,,,,Intensité numérique de paires de compétences hybrides,Compétence numérique de paire hybride utilisée dans des contextes d’intensité numérique élevée,Compétence non numérique de paire hybride utilisée dans des contextes d’intensité numérique élevée,Jumelage de groupes de compétences hybrides,,,,,,
